id,nama,alamat,cluster,mitra_ad_cluster,region_channel,provinsi,kabupaten,kecamatan,kelurahan,kode_pos,call_center,email,longitude,latitude,created_at,updated-at
,BATAM,Komplek ruko city point E No.08 Kibing Batu Aji,GREATER BATAM,PT. GOLDEN COMMUNICATION,SUMBAGTENG ,KEPULAUAN RIAU,BATAM,,,,81364115553,qarindra_putra@yahoo.com,105.69721,1.039800863,,
,PEKANBARU,Jl. Jendral Sudirman No. 121 RT 005 / RW 001 Kota Pekanbaru,GREATER PEKANBARU,PT. SUMATERA INTI SELULER,SUMBAGTENG ,RIAU,PEKANBARU,,,,85265500052,riorohendiii@gmail.com,101.44773,0.5330943,,
,PEKANBARU,Jln Kharudin Nasution No.14 Kelurahan Simpang Tiga Kecamatan Bukit Raya Rt.2 Rw.7 Kota Pekanbaru,GREATER PEKANBARU,PT. SUMATERA INTI SELULER,SUMBAGTENG ,RIAU,PEKANBARU,,,,82283742174,bayutrinanda3@gmail.com,101.44469,0.4333772,,
,PEKANBARU,Jl. HR Subrantas Komplek Ruko Metropolitan City Blok A No. 18 RT 003 / RW 002 Kota Pekanbaru,GREATER PEKANBARU,PT. SUMATERA INTI SELULER,SUMBAGTENG ,RIAU,PEKANBARU,,,,85265656518,ichsanyuda515@gmail.com,101.38407,0.4645472,,
,PEKANBARU,Jl.Yosudarso kecamatan rumbai pesisir Kota Pekanbaru,GREATER PEKANBARU,PT. SUMATERA INTI SELULER,SUMBAGTENG ,RIAU,PEKANBARU,,,,82386104954,Rulisis22@gmail.com,101.4309,0.5664749,,
,SIAK ,Jl Raja Kecil kecamatan Bunga Raya Kota Siak ,GREATER PEKANBARU,PT. SUMATERA INTI SELULER,SUMBAGTENG ,RIAU,SIAK ,,,,82288101010,kristiwandi1@gmail.com,102.04351,0.8021511,,
,PERAWANG ,Jl. Raya Perawang KM 7 Kecamatan Tualang ,GREATER PEKANBARU,PT. SUMATERA INTI SELULER,SUMBAGTENG ,RIAU,PERAWANG ,,,,82382275014,putrahidayat.333@gmail.com,101.58386,0.6771577,,
,LUBUK DALAM ,Jl. Lintas Pertamina Kecamatan Lubuk Dalam Kota Siak,GREATER PEKANBARU,PT. SUMATERA INTI SELULER,SUMBAGTENG ,RIAU,LUBUK DALAM ,,,,85213953535,andhy29wardhana@gmail.com,101.80419,0.5961405,,
,Padang,Jalan Batang Agam Nomor 6 Padang Sumatera Barat ,Padang Pariaman,KOPERASI TELEKOMUNIKASI SELULAR,SUMBAGTENG ,SUMATERA BARAT,Padang,,,,85375555552,nilwan.1988@yahoo.com,100.3599,-0.926626,,
,Padang,Dr Moh Hatta Pasar Ambacang Kecamatan Kuranji Padang Sumatera Barat ,Padang Pariaman,KOPERASI TELEKOMUNIKASI SELULAR,SUMBAGTENG ,SUMATERA BARAT,Padang,,,,85263977770,bonny.kisel@gmail.com,100.40588,-0.932446,,
,Padang,Jln Adinegoro No 25 Tabing - Padang,Padang Pariaman,KOPERASI TELEKOMUNIKASI SELULAR,SUMBAGTENG ,SUMATERA BARAT,Padang,,,,85263777771,joniwan.kisel@gmail.com,100.34066,-0.862507,,
,Pariaman,Jl Kurai Taji - Pariaman,Padang Pariaman,KOPERASI TELEKOMUNIKASI SELULAR,SUMBAGTENG ,SUMATERA BARAT,Pariaman,,,,81290906078,lutfiakbar.sefiia.sms@gmail.com,100.16955,-0.629997,,
,Painan,Jl ProfDr Hamka Painan KecIV Jurai Kap Pesisir Selatan ,Padang Pariaman,KOPERASI TELEKOMUNIKASI SELULAR,SUMBAGTENG ,SUMATERA BARAT,Painan,,,,85274014321,rickisel@yahoo.com,100.58485,-1.346417,,
,Lengayang,Jl Raya Pasar Lakitan Lintas Sumatera Padang - Pesisir Selatan ,Padang Pariaman,KOPERASI TELEKOMUNIKASI SELULAR,SUMBAGTENG ,SUMATERA BARAT,Lengayang,,,,8116686789,adek082014@gmail.com,100.74014,-1.733046,,
,Tapan,Jl Raya Bukit Tapan - Pesisir Selatan,Padang Pariaman,KOPERASI TELEKOMUNIKASI SELULAR,SUMBAGTENG ,SUMATERA BARAT,Tapan,,,,82170821348,pepenkisel88@gmail.com,101.08022,-2.15853,,
,Mentawai,Jl Raya Tua Pejat Km 7 Mentawai,Padang Pariaman,KOPERASI TELEKOMUNIKASI SELULAR,SUMBAGTENG ,SUMATERA BARAT,Mentawai,,,,85375555552,nilwan.1988@yahoo.com,99.594245,-2.065038,,
,Lubuk Alung,Jl Raya Padang-Bukittinggi Pasar Mudik Lubuk Alung,Padang Pariaman,KOPERASI TELEKOMUNIKASI SELULAR,SUMBAGTENG ,RIAU,Lubuk Alung,,,,85356004444,irwandakisel@yahoo.com,100.28991,-0.6764,,
,Ujung Batu,Jl.Jendral Sudirman No 131 Ujung Batu,Rokan Hulu,PT. WAHANA PUTRA YUDHA,SUMBAGTENG ,RIAU,Ujung Batu,,,,85272051999,mansyur2010@ymail.com,100.53558,0.7084515,,
,Pasir Pengaraian,Jl.Tuanku Tambusai RT 02 RW 03 Pasir Pengaraian,Rokan Hulu,PT. WAHANA PUTRA YUDHA,SUMBAGTENG ,RIAU,Pasir Pengaraian,,,,81371366678,marpanti_aka@yahoo.co.id,100.30361,0.8895231,,
,Kota Tengah,Jl.Lintas Duri RT 01 RW 06 Kota Tengah,Rokan Hulu,PT. WAHANA PUTRA YUDHA,SUMBAGTENG ,RIAU,Kota Tengah,,,,82392992929,rhevyhidayat@yahoo.com,100.5473,1.0887551,,
,Bangkinang,Jl.DI.Panjaitan No 106 Bangkinang Kota,Rokan Hulu,PT. WAHANA PUTRA YUDHA,SUMBAGTENG ,RIAU,Bangkinang,,,,82283331333,robby_syamsuddin@ymail.com,101.02155,0.3395532,,
,Rimbo Panjang,"JL.Raya Pekanbaru - Bangkinang KM 16,5 Rimbo Panjang",Rokan Hulu,PT. WAHANA PUTRA YUDHA,SUMBAGTENG ,RIAU,Rimbo Panjang,,,,85365099023,jenery.seventina@yahoo.co.id,101.34797,0.4544733,,
,Flamboyan,JL.Flamboyan V RT 05 RW 03 Tapung,Rokan Hulu,PT. WAHANA PUTRA YUDHA,SUMBAGTENG ,RIAU,Flamboyan,,,,82391666222,feriardian4622@gmail.com,101.07764,0.627267,,
,Kandis,JL.Lintas Pekanbaru - Duri Km 79 RT 02 RW 04 Kandis,Rokan Hulu,PT. WAHANA PUTRA YUDHA,SUMBAGTENG ,RIAU,Kandis,,,,82392700070,irfan.abim@gmail.com,101.24,0.9426607,,
,Pinggir,JL.Lintas Pekanbaru - Duri No 49 RT 04 RW 01 Pinggir,Rokan Hulu,PT. WAHANA PUTRA YUDHA,SUMBAGTENG ,RIAU,Pinggir,,,,81275949636,doriaffrinaldo@yahoo.com,101.26248,1.1850762,,
,Rantau Kasai,JL.Lintas Tanjung Medan RT.05 RW.02 Tambusai Utara,Rokan Hulu,PT. WAHANA PUTRA YUDHA,SUMBAGTENG ,RIAU,Rantau Kasai,,,,85374823444,julianto899@yahoo.com,100.37838,1.2649119,,
,Lipat Kain,JL.HR Subrantas Lipat Kain,Rokan Hulu,PT. WAHANA PUTRA YUDHA,SUMBAGTENG ,RIAU,Lipat Kain,,,,81270332619,feriyulistia@yahoo.com,101.20504,0.0234515,,
,SOLOK,Jl.Jendral Sudirman Pasar Alahan panjang Kecamatan lembah Gumanti Kabupaten Solok,Solok Sraya,CV. AKAR DAYA MANDIRI,SUMBAGTENG ,SUMATERA BARAT,SOLOK,,,,82268812412,firdaushidayat92@gmail.com,100.78749,-1.075666,,
,SOLOK,"Jl. Datuk Parpatiah Nan Sabatang No. 126, Rt:1/RW:3, Kel. Simpang Rumbio, Kec. Lubuk Sikarah, Kab. Kota Solok, 27316",Solok Sraya,CV. AKAR DAYA MANDIRI,SUMBAGTENG ,SUMATERA BARAT,SOLOK,,,,85374639538,iswandi@akardaya.com,100.665261,-0.79897,,
,DHARMASRAYA,"Jl. Lintas Sumatera KM 4, Kel. Sungai kambut, Kec. Pulau Punjung, Kab Darmasraya 27572",Solok Sraya,CV. AKAR DAYA MANDIRI,SUMBAGTENG ,SUMATERA BARAT,DHARMASRAYA,,,,85376169076,feryagmal@akardaya.com,101.484221,-0.95068,,
,SAWAH LUNTO,"Jl. Lintas sumatera, Ruko simpang 3 Bloc C No. 1, Kel. Muaro kalaban, Kec. Silungkang, Kab. Sawah Lunto 27435",Solok Sraya,CV. AKAR DAYA MANDIRI,SUMBAGTENG ,SUMATERA BARAT,SAWAH LUNTO,,,,85375412345,frengkyflorenza@gmail.com,100.792214,-0.707249,,
,SIJUNJUNG,"Jalan Imam Bonjol, jorong pasar Jum'at, Nagari Muaro, Kecamatan Sijunjung, Kabupaten Sijunjung",Solok Sraya,CV. AKAR DAYA MANDIRI,SUMBAGTENG ,SUMATERA BARAT,SIJUNJUNG,,,,85265553888,ahmadeffendi@akardaya.com,100.95794,-0.669537,,
,DHARMASRAYA,"Jl. Sungai Salak  simpang SMP Negeri 1 Sitiung nagari sunagi duo, kecamatan Sitiung Kabupaten Dhamasraya",Solok Sraya,CV. AKAR DAYA MANDIRI,SUMBAGTENG ,SUMATERA BARAT,DHARMASRAYA,,,,81374736221,zulkifli@akardaya.com,101.66878,-1.033733,,
,SOLOK SELATAN,Simpang Pasar Baru Muara Labuh. Jalan Raya Rawang. Kelurahan Pasir Talang. Kecamatan Sungai Pagu. Kabupaten Solok Selatan,Solok Sraya,CV. AKAR DAYA MANDIRI,SUMBAGTENG ,SUMATERA BARAT,SOLOK SELATAN,,,,85355444000,ridhohidayat@akardaya.com,101.04877,-1.476921,,
,DHARMASRAYA,"Jl. Lintas Sumatera KM1 No. 76, Jorong balai tengah, Kel. Sungai Rumbai, Kec. Sungai Rumbai, Kab. Dharmasraya, 27684",Solok Sraya,CV. AKAR DAYA MANDIRI,SUMBAGTENG ,SUMATERA BARAT,DHARMASRAYA,,,,85271117111,amransyah20@gmail.com,101.739292,-1.219211,,
,SIJUNJUNG,"KM 5 sungai tambang, nagari kunpar, kecamatan kamang baru , kabupaten sijunjung",Solok Sraya,CV. AKAR DAYA MANDIRI,SUMBAGTENG ,SUMATERA BARAT,SIJUNJUNG,,,,85375986666,randiomr@ymail.com,10138476,-0.860511,,
,RENGAT,JL. SULTAN KELURAHAN KAMPUNG BESAR KOTA KEC. RENGAT KODE POS 29300,TEMBILAHAN,PT. SARANA MEDIA SELULER,SUMBAGTENG ,KEPULAUAN RIAU,RENGAT,,,,85278002222,suryonosms@gmail.com,102.54082,-0.371786,,
,AIR MOLEK,JL. JEND SUDIRMAN RT 011 RW 005 KEL. TANJUNG GADING AIR MOLEK KEC. PASIR PENYU 29352,TEMBILAHAN,PT. SARANA MEDIA SELULER,SUMBAGTENG ,KEPULAUAN RIAU,AIR MOLEK,,,,81277000086,emilhakim8899@gmail.com,102.29389,-0.361416,,
,BELILAS,JL. LINTAS TIMUR RT 009 RW 003 KEL. PANGKALAN KASAI KEC. SEBERIDA 29371,TEMBILAHAN,PT. SARANA MEDIA SELULER,SUMBAGTENG ,KEPULAUAN RIAU,BELILAS,,,,85365938777,wwnindrayana@gmail.com,102.4147,0.540021,,
,KOTA BARU,JL. AHMAD YANI KOTA BARU SEBERIDA 29274,TEMBILAHAN,PT. SARANA MEDIA SELULER,SUMBAGTENG ,KEPULAUAN RIAU,KOTA BARU,,,,82283397307,okta.buddy88@gmail.com,102.92967,-0.743556,,
,TEMBILAHAN,JL. SOEBRANTAS DEPAN GEDUNG DPR KEL. TEMBILAHAN HILIR KEC. TEMBILAHAN 29212,TEMBILAHAN,PT. SARANA MEDIA SELULER,SUMBAGTENG ,KEPULAUAN RIAU,TEMBILAHAN,,,,81225202000,Dhenykurniawan85@gmail.com,103.162,-0.312906,,
,BASERAH,JL. JEND SUDIRMAN RT 004 RW 002 KEL. PASAR USANG KEC. KUANTAN HILIR KODE POS 29561,TEMBILAHAN,PT. SARANA MEDIA SELULER,SUMBAGTENG ,KEPULAUAN RIAU,BASERAH,,,,81267202268,muchamadzulfikar1991@gmail.com,101.73165,-0.436733,,
,TELUK KUANTAN,JL. TUANKU TAMBUSAI JALUR DUA RT 002 RW 003 KEL. KOTO TALUK KEC. KUANTAN TENGAH 29515,TEMBILAHAN,PT. SARANA MEDIA SELULER,SUMBAGTENG ,KEPULAUAN RIAU,TELUK KUANTAN,,,,82389167557,ekoo_anggara@yahoo.co.id,101.56422,0.528157,,
,SOREK,"JL. LINTAS TIMUR DEKAT SPBU BANDAR PETALANGAN, KEL. LUBUK TERAP, KEC. BANDAR PETALANGAN, KAB. PELALAWAN",TEMBILAHAN,PT. SARANA MEDIA SELULER,SUMBAGTENG ,KEPULAUAN RIAU,SOREK,,,,82170600600,areliquisatimur@gmail.com,102.07831,0.1177316,,
,KERINCI,JL. LINTAS TIMUR  KEL. PANGKALAN KERINCI KANAN KEC. PANGKALAN KERINCI KAB. PELALAWAN - PANGKALAN KERINCI RIAU 28300,TEMBILAHAN,PT. SARANA MEDIA SELULER,SUMBAGTENG ,KEPULAUAN RIAU,KERINCI,,,,82386868668,azrian84@gmail.com,101.85761,0.3741406,,
,TANJUNG PINANG,"JL. IR. JUANDANO.22 LT.1,GEDUNG GRAHA BINTAN TANJUNG PINANG",TANJUNG PINANG,KOPERASI TELEKOMUNIKASI SELULAR,SUMBAGTENG ,KEPULAUAN RIAU,TANJUNG PINANG,,,,81277799099,Saidulbahri2017@gmail.com,104.47893,0.8962479,,
,RANAI,jln. Datuk kaya wan.mhd.benteng ranai natuna no 118,TANJUNG PINANG,KOPERASI TELEKOMUNIKASI SELULAR,SUMBAGTENG ,KEPULAUAN RIAU,RANAI,,,,82284229222,Sb.monno@gmail.com,108.3907,3.9456589,,
,UBAN KOTA,JL.PERMAISURI TANJUNG UBAN KOTA,TANJUNG PINANG,KOPERASI TELEKOMUNIKASI SELULAR,SUMBAGTENG ,KEPULAUAN RIAU,UBAN KOTA,,,,81378080808,dion.telesindoshop@gmail.com,104.2243,1.0645729,,
,DABO SINGKEP,JL. PELABUHAN NO.8 DABO SINGKEP,TANJUNG PINANG,KOPERASI TELEKOMUNIKASI SELULAR,SUMBAGTENG ,RIAU,DABO SINGKEP,,,,8137807779,xpdc.rudystones@gmail.com,104.56326,-0.498291,,
,Dumai,Jl. Jendral Sudirman (deretan Reflexi KAKIKU)],Dumai,PT. MEDIA SWARA PRIMA,SUMBAGTENG ,RIAU,Dumai,,,,85271262929,dody.hrdmspdmi73@gmail.com,101.44854,1.6720346,,
,Duri,Jl. Jend. Sudirman ( Depan Ramayana ),Dumai,PT. MEDIA SWARA PRIMA,SUMBAGTENG ,RIAU,Duri,,,,85271262929,dody.hrdmspdmi73@gmail.com,101.19324,1.2848628,,
,Bagan Batu,Jl. Jendral Sudirman (Samping Dealer Suzuki),Dumai,PT. MEDIA SWARA PRIMA,SUMBAGTENG ,RIAU,Bagan Batu,,,,85271262929,dody.hrdmspdmi73@gmail.com,100.39781,1.7093669,,
,Bagan Siapi - Api,Jl. Aman No. 36 (Depan Asia Foto),Dumai,PT. MEDIA SWARA PRIMA,SUMBAGTENG ,RIAU,Bagan Siapi - Api,,,,85271262929,dody.hrdmspdmi73@gmail.com,100.80802,2.1617106,,
,Ujung Tanjung,Jl. Lintas Ujung Tanjung - Bagan Siapi Api  (Disamping Toko Buku Parker),Dumai,PT. MEDIA SWARA PRIMA,SUMBAGTENG ,RIAU,Ujung Tanjung,,,,85271262929,dody.hrdmspdmi73@gmail.com,101.03092,1.6295779,,
,Rupat,"Jl. Mesjid , Batu Panjang",Dumai,PT. MEDIA SWARA PRIMA,SUMBAGTENG ,RIAU,Rupat,,,,85271262929,dody.hrdmspdmi73@gmail.com,101.51751,1.717169,,
,Bengkalis,Jl. Hang Tuah No. 037 Bengkalis,Dumai,PT. MEDIA SWARA PRIMA,SUMBAGTENG ,RIAU,Bengkalis,,,,85271262929,dody.hrdmspdmi73@gmail.com,102.11105,1.4724835,,
,Sei. Pakning,Jl. Jend Sudirman ,Dumai,PT. MEDIA SWARA PRIMA,SUMBAGTENG ,RIAU,Sei. Pakning,,,,85271262929,dody.hrdmspdmi73@gmail.com,102.15722,1.3493088,,
,Pujud,Jl. Lintas Pujud,Dumai,PT. MEDIA SWARA PRIMA,SUMBAGTENG ,RIAU,Pujud,,,,85271262929,dody.hrdmspdmi73@gmail.com,100.64046,1.4309825,,
,TAP METRO,METRO,LAMPUNG TENGAH,CV. AKAR DAYA MANDIRI,SUMBAGSEL,SUMATERA SELATAN,METRO,,,,85269991987,NURLAILA,105.30427,-5.115647,,
,TAP MINI BRATASENA,MINI BRATASENA,LAMPUNG TENGAH,CV. AKAR DAYA MANDIRI,SUMBAGSEL,SUMATERA SELATAN,MINI BRATASENA,,,,8136992222,HENDRA,105.8162981,-4.56994196,,
,TAP MINI KALIREJO,MINI KALIREJO,LAMPUNG TENGAH,CV. AKAR DAYA MANDIRI,SUMBAGSEL,SUMATERA SELATAN,MINI KALIREJO,,,,85380068886,HERU KURNIAWAN,104.96238,-5.227307,,
,TAP RUMBIA ,RUMBIA,LAMPUNG TENGAH,CV. AKAR DAYA MANDIRI,SUMBAGSEL,SUMATERA SELATAN,RUMBIA,,,,81278305757,HENDRA,"10,554,849",-5,,
,TAP SRIBAWONO,SRIBAWONO,LAMPUNG TENGAH,CV. AKAR DAYA MANDIRI,SUMBAGSEL,SUMATERA SELATAN,SRIBAWONO,,,,8117865171,AHAMD QODRI,105.74422,-5.299096,,
,TAP UNIT 2,UNIT 2,LAMPUNG TENGAH,CV. AKAR DAYA MANDIRI,SUMBAGSEL,SUMATERA SELATAN,UNIT 2,,,,82186141987,ANTONI SYAMSUDIN,105.22124,-4.286999,,
,TAP PEKALONGAN,PEKALONGAN,LAMPUNG TENGAH,CV. AKAR DAYA MANDIRI,SUMBAGSEL,SUMATERA SELATAN,PEKALONGAN,,,,6.28137E+12,BAMBANG ERWANTO,105.3582,-5.083441,,
,TAP MINI RAWAJITU,MINI RAWAJITU,LAMPUNG TENGAH,CV. AKAR DAYA MANDIRI,SUMBAGSEL,SUMATERA SELATAN,MINI RAWAJITU,,,,6.28228E+12,ANTONI SYAMSUDIN,105.7412371,-4.212863686,,
,TAP BANDAR JAYA ,BANDAR JAYA,LAMPUNG TENGAH,CV. AKAR DAYA MANDIRI,SUMBAGSEL,SUMATERA SELATAN,BANDAR JAYA,,,,6.28128E+11,HERU KURNIAWAN,10521401,-4.942356,,
,TAP BUNGO,BUNGO,JAMBI BARAT,PT. ARIFINDO MANDIRI,SUMBAGSEL,SUMATERA SELATAN,BUNGO,,,,6.28137E+12,AHMAD FUDORI,102.1193,-1.475192,,
,TAP TEBO,TEBO,JAMBI BARAT,PT. ARIFINDO MANDIRI,SUMBAGSEL,SUMATERA SELATAN,TEBO,,,,6.28218E+12,WEBI PRIMADONI,102.4416124,-1.4729977,,
,TAP RIMBO BUJANG,RIMBO BUJANG,JAMBI BARAT,PT. ARIFINDO MANDIRI,SUMBAGSEL,SUMATERA SELATAN,RIMBO BUJANG,,,,6.28127E+12,ERWIN SIMANJUNTAK,102.10413,-1.31313,,
,TAP MERANGIN,MERANGIN,JAMBI BARAT,PT. ARIFINDO MANDIRI,SUMBAGSEL,SUMATERA SELATAN,MERANGIN,,,,6.28218E+12,SUTRISNO,102.2784759,-2.0455917,,
,TAP SAROLANGUN,SAROLANGUN,JAMBI BARAT,PT. ARIFINDO MANDIRI,SUMBAGSEL,SUMATERA SELATAN,SAROLANGUN,,,,6.28218E+12,ARI ANGGRIA PUTRA,102.71688,-2.302203,,
,TAP KERINCI,KERINCI,JAMBI BARAT,PT. ARIFINDO MANDIRI,SUMBAGSEL,SUMATERA SELATAN,KERINCI,,,,85279112222,ANDRI WINARNO,101.392617,-2.065812,,
,TAP BATURAJA,BATURAJA,OGAN KOMERING,PT. ARIFINDO MANDIRI,SUMBAGSEL,SUMATERA SELATAN,BATURAJA,,,,81367705949,ARDIANSYAH,104.17826,-4.131159,,
,TAP MARTAPURA,MARTAPURA,OGAN KOMERING,PT. ARIFINDO MANDIRI,SUMBAGSEL,SUMATERA SELATAN,MARTAPURA,,,,81368211805,YANUAR ANSHORI,104.34193,-4.306974,,
,TAP BELITANG,BELITANG,OGAN KOMERING,PT. ARIFINDO MANDIRI,SUMBAGSEL,SUMATERA SELATAN,BELITANG,,,,85367074509,FIRMANSYAH,104.639905,-4.112815,,
,TAP MUARADUA,MUARADUA,OGAN KOMERING,PT. ARIFINDO MANDIRI,SUMBAGSEL,SUMATERA SELATAN,MUARADUA,,,,8127127126,ARVA REZA JUANDA,104.07024,-4.541211,,
,TAP KAYUAGUNG,KAYUAGUNG,OGAN KOMERING,PT. ARIFINDO MANDIRI,SUMBAGSEL,SUMATERA SELATAN,KAYUAGUNG,,,,82179343409,M. SAPRIADI,104.826817,-3.40238,,
,TAP TUGUMULYO,TUGUMULYO,OGAN KOMERING,PT. ARIFINDO MANDIRI,SUMBAGSEL,SUMATERA SELATAN,TUGUMULYO,,,,85267639299,BAMBANG,104.89236,-3.851628,,
,TAP SIMPANG PEMATANG,SIMPANG PEMATANG,OGAN KOMERING,PT. ARIFINDO MANDIRI,SUMBAGSEL,SUMATERA SELATAN,SIMPANG PEMATANG,,,,82279787878,TONI SELAMET TRIADI,105.247,-4.022385,,
,TAP JAMBI INNER,JAMBI INNER,JAMBI INNER,PT. NARINDO SOLUSI TELEKOMUNIKASI,SUMBAGSEL,SUMATERA SELATAN,JAMBI INNER,,,,081374856789,ARIEF BUDIMAN PRAYUSTI,103.61624,-1.605595,,
,TAP BULIAN,BULIAN,JAMBI INNER,PT. NARINDO SOLUSI TELEKOMUNIKASI,SUMBAGSEL,SUMATERA SELATAN,BULIAN,,,,081271606000,LUTFI,103.25405,-1.712852,,
,TAP BAHAR,BAHAR,JAMBI INNER,PT. NARINDO SOLUSI TELEKOMUNIKASI,SUMBAGSEL,SUMATERA SELATAN,BAHAR,,,,081271477654,AFRI ALDO,103.43474,-1.968164,,
,TAP TUNGKAL,TUNGKAL,JAMBI INNER,PT. NARINDO SOLUSI TELEKOMUNIKASI,SUMBAGSEL,SUMATERA SELATAN,TUNGKAL,,,,085369888811,SANDI,103.46013,-0.8191,,
,TAP MERLUNG,MERLUNG,JAMBI INNER,PT. NARINDO SOLUSI TELEKOMUNIKASI,SUMBAGSEL,SUMATERA SELATAN,MERLUNG,,,,081221449393,TRIO SEPTIAN,103.0523,-1.260152,,
,TAP SABAK,SABAK,JAMBI INNER,PT. NARINDO SOLUSI TELEKOMUNIKASI,SUMBAGSEL,SUMATERA SELATAN,SABAK,,,,082371590000,DASEANDA WIJAYA,103.79323,-1.218435,,
,TAP NIPAH,NIPAH,JAMBI INNER,PT. NARINDO SOLUSI TELEKOMUNIKASI,SUMBAGSEL,SUMATERA SELATAN,NIPAH,,,,085267510007,M FADIL,104.19473,-1.07464,,
,TAP BENGKULU,BENGKULU,BUMI RAFFLESIA,KOPERASI TELEKOMUNIKASI SELULAR,SUMBAGSEL,SUMATERA SELATAN,BENGKULU,,,,082373387818,SEFRIANSYAH,102.26543,-3803665,,
,TAP ARGA MAKMUR,ARGA MAKMUR,BUMI RAFFLESIA,KOPERASI TELEKOMUNIKASI SELULAR,SUMBAGSEL,SUMATERA SELATAN,ARGA MAKMUR,,,,081271606000,IRWAN IRWANTO,102.18739,-3.436932,,
,TAP MANNA,MANNA,BUMI RAFFLESIA,KOPERASI TELEKOMUNIKASI SELULAR,SUMBAGSEL,SUMATERA SELATAN,MANNA,,,,081271477654,EKO SUSANTO,102.91955,-4.451673,,
,TAP SELUMA,SELUMA,BUMI RAFFLESIA,KOPERASI TELEKOMUNIKASI SELULAR,SUMBAGSEL,SUMATERA SELATAN,SELUMA,,,,82139444449,HERNU DEFRIZAL,102.58018,-4.073443,,
,TAP MUKOMUKO,MUKOMUKO,BUMI RAFFLESIA,KOPERASI TELEKOMUNIKASI SELULAR,SUMBAGSEL,SUMATERA SELATAN,MUKOMUKO,,,,82373737171,TRI AGUNG PRASETYA,101.108212,-2.56336,,
,TAP CURUP,CURUP,BUMI RAFFLESIA,KOPERASI TELEKOMUNIKASI SELULAR,SUMBAGSEL,SUMATERA SELATAN,CURUP,,,,82177757774,ZAMHARI,10253483,-3476644,,
,TAP LEBONG,LEBONG,BUMI RAFFLESIA,KOPERASI TELEKOMUNIKASI SELULAR,SUMBAGSEL,SUMATERA SELATAN,LEBONG,,,,85268000514,RIKO HENDRA,102.20678,-3.123554,,
,TAP KEPAHIANG,KEPAHIANG,BUMI RAFFLESIA,KOPERASI TELEKOMUNIKASI SELULAR,SUMBAGSEL,SUMATERA SELATAN,KEPAHIANG,,,,85267114490,DONI,102.57034,-3.64249,,
,TAP TALANG KELAPA,TALANG KELAPA,BANYUASIN,PT. NARINDO SOLUSI TELEKOMUNIKASI,SUMBAGSEL,SUMATERA SELATAN,TALANG KELAPA,,,,85278037303,SUSANTO,104.66142,-2.912743,,
,TAP BETUNG,BETUNG,BANYUASIN,PT. NARINDO SOLUSI TELEKOMUNIKASI,SUMBAGSEL,SUMATERA SELATAN,BETUNG,,,,85278037303,KRISTO RAYEN,104.22338,-2.843902,,
,TAP SEKAYU,SEKAYU,BANYUASIN,PT. NARINDO SOLUSI TELEKOMUNIKASI,SUMBAGSEL,SUMATERA SELATAN,SEKAYU,,,,8117015393,PANJI ARDIANSYAH,103.84701,-2.893355,,
,TAP BABAT TOMAN,BABAT TOMAN,BANYUASIN,PT. NARINDO SOLUSI TELEKOMUNIKASI,SUMBAGSEL,SUMATERA SELATAN,BABAT TOMAN,,,,85267714900,HENGKI SAPUTRA,103.63832,-2.739332,,
,TAP SUNGAI LILIN,SUNGAI LILIN,BANYUASIN,PT. NARINDO SOLUSI TELEKOMUNIKASI,SUMBAGSEL,SUMATERA SELATAN,SUNGAI LILIN,,,,82379881414,YULIUS ARDHI,104.1117,-2.594336,,
,TAP BAYUNG LENCIR,BAYUNG LENCIR,BANYUASIN,PT. NARINDO SOLUSI TELEKOMUNIKASI,SUMBAGSEL,SUMATERA SELATAN,BAYUNG LENCIR,,,,82374024802,JOKO PRASETYO,103.68044,-2.064794,,
,TAP MAKARTI JAYA,MAKARTI JAYA,BANYUASIN,PT. NARINDO SOLUSI TELEKOMUNIKASI,SUMBAGSEL,SUMATERA SELATAN,MAKARTI JAYA,,,,82280491138,IMAM ZAKI,104.97703,-2.489496,,
,TAP MARIANA,MARIANA,BANYUASIN,PT. NARINDO SOLUSI TELEKOMUNIKASI,SUMBAGSEL,SUMATERA SELATAN,MARIANA,,,,82175026373,JACKANDI,104.86847,-2.975964,,
,TAP KOTABUMI,KOTABUMI,LAMPUNG UTARA,CV. MEDIASEL SINAR BARU,SUMBAGSEL,SUMATERA SELATAN,KOTABUMI,,,,81271828080,M.MASHURI,104.90193,-4.840778,,
,TAP LIWA,LIWA,LAMPUNG UTARA,CV. MEDIASEL SINAR BARU,SUMBAGSEL,SUMATERA SELATAN,LIWA,,,,82380450000,IMAN SETIONO,1040824678,-5.0361571,,
,TAP BARADATU,BARADATU,LAMPUNG UTARA,CV. MEDIASEL SINAR BARU,SUMBAGSEL,SUMATERA SELATAN,BARADATU,,,,85367030554,FEBRANTA GINTING,104.54217,-4.722503,,
,TAP TALANG PADANG,TALANG PADANG,LAMPUNG UTARA,CV. MEDIASEL SINAR BARU,SUMBAGSEL,SUMATERA SELATAN,TALANG PADANG,,,,82269874748,RIZA FITRIA,10478038,-5.36645,,
,TAP KRUI,KRUI,LAMPUNG UTARA,CV. MEDIASEL SINAR BARU,SUMBAGSEL,SUMATERA SELATAN,KRUI,,,,85383888882,DIKI ARDIANSYAH,103.93742,-5.181274,,
